case_id,split_candidate,category_id,category_name,extra_requirement,is_substitutable,proposed_expected_status,proposed_expected_mode,proposed_expected_constraints,proposed_expected_preference_groups,scenario_type,grounding_source,generation_reason,candidate_origin,source_reference,existing_test_case_id,parser_exposure,evaluation_partition_candidate,reviewer_status,corrected_expected_status,corrected_expected_mode,corrected_expected_constraints,corrected_expected_preference_groups,proposed_expected_effective_requirement_mode,corrected_expected_effective_requirement_mode,proposed_expected_passthrough_text,corrected_expected_passthrough_text,reviewer_note,expected_effective_requirement_mode,expected_passthrough_text
part-a-v2-2-001,STANDARD,health-functional-food:eye_health,눈 건강,캡슐 절대 포함 금지,true,PARSED,EXCLUDE,"[{""facet_name"":""product_form"",""value_code"":1,""value"":""캡슐"",""constraint_type"":""EXCLUDE""}]",[],NOMINAL_PROHIBITION_ORDER_VARIATION,human-reviewed v042 evaluation fixture,Existing reviewed expression pattern reused as a candidate; approval is pending.,EXISTING_REVIEWED_FIXTURE,tests/demand_constraints/fixtures/v042_approved_eval.csv,anthropic-NP-001-1,KNOWN_TO_EXISTING_TESTS,DEV,APPROVED,,,,,STRUCTURED,,,,,STRUCTURED,
part-a-v2-2-002,STANDARD,health-functional-food:protein,단백질,분말 반드시 포함은 금지입니다,true,PARSED,EXCLUDE,"[{""facet_name"":""product_form"",""value_code"":1,""value"":""분말"",""constraint_type"":""EXCLUDE""}]",[],NOMINAL_PROHIBITION_ORDER_VARIATION,human-reviewed v042 evaluation fixture,Existing reviewed expression pattern reused as a candidate; approval is pending.,EXISTING_REVIEWED_FIXTURE,tests/demand_constraints/fixtures/v042_approved_eval.csv,anthropic-NP-002-1,KNOWN_TO_EXISTING_TESTS,DEV,APPROVED,,,,,STRUCTURED,,,,,STRUCTURED,
part-a-v2-2-003,STANDARD,health-functional-food:probiotics,유산균·프로바이오틱스,절대 젤리 포함 금지,true,PARSED,EXCLUDE,"[{""facet_name"":""product_form"",""value_code"":6,""value"":""젤리"",""constraint_type"":""EXCLUDE""}]",[],NOMINAL_PROHIBITION_ORDER_VARIATION,human-reviewed v042 evaluation fixture,Existing reviewed expression pattern reused as a candidate; approval is pending.,EXISTING_REVIEWED_FIXTURE,tests/demand_constraints/fixtures/v042_approved_eval.csv,anthropic-NP-003-1,KNOWN_TO_EXISTING_TESTS,DEV,APPROVED,,,,,STRUCTURED,,,,,STRUCTURED,
part-a-v2-2-004,STANDARD,health-functional-food:eye_health,눈 건강,루테인 제품 포함은 금지로 해주세요,true,PARSED,EXCLUDE,"[{""facet_name"":""functional_ingredients"",""value_code"":9,""value"":""루테인 제품"",""constraint_type"":""EXCLUDE""}]",[],NOMINAL_PROHIBITION_ORDER_VARIATION,human-reviewed v042 evaluation fixture,Existing reviewed expression pattern reused as a candidate; approval is pending.,EXISTING_REVIEWED_FIXTURE,tests/demand_constraints/fixtures/v042_approved_eval.csv,anthropic-NP-004-1,KNOWN_TO_EXISTING_TESTS,DEV,APPROVED,,,,,STRUCTURED,,,,,STRUCTURED,
part-a-v2-2-005,STANDARD,health-functional-food:protein,단백질,비오틴 절대 포함 금지,true,PARSED,EXCLUDE,"[{""facet_name"":""functional_ingredients"",""value_code"":2,""value"":""비오틴"",""constraint_type"":""EXCLUDE""}]",[],NOMINAL_PROHIBITION_ORDER_VARIATION,human-reviewed v042 evaluation fixture,Existing reviewed expression pattern reused as a candidate; approval is pending.,EXISTING_REVIEWED_FIXTURE,tests/demand_constraints/fixtures/v042_approved_eval.csv,anthropic-NP-005-1,KNOWN_TO_EXISTING_TESTS,DEV,APPROVED,,,,,STRUCTURED,,,,,STRUCTURED,
part-a-v2-2-006,STANDARD,health-functional-food:probiotics,유산균·프로바이오틱스,1일 3회 반드시 포함은 금지입니다,true,PARSED,EXCLUDE,"[{""facet_name"":""daily_frequency"",""value_code"":3,""value"":""1일 3회"",""constraint_type"":""EXCLUDE""}]",[],NOMINAL_PROHIBITION_ORDER_VARIATION,human-reviewed v042 evaluation fixture,Existing reviewed expression pattern reused as a candidate; approval is pending.,EXISTING_REVIEWED_FIXTURE,tests/demand_constraints/fixtures/v042_approved_eval.csv,anthropic-NP-006-1,KNOWN_TO_EXISTING_TESTS,DEV,APPROVED,,,,,STRUCTURED,,,,,STRUCTURED,
part-a-v2-2-007,STANDARD,health-functional-food:eye_health,눈 건강,반드시 액상 포함 금지,true,PARSED,EXCLUDE,"[{""facet_name"":""product_form"",""value_code"":6,""value"":""액상"",""constraint_type"":""EXCLUDE""}]",[],NOMINAL_PROHIBITION_ORDER_VARIATION,human-reviewed v042 evaluation fixture,Existing reviewed expression pattern reused as a candidate; approval is pending.,EXISTING_REVIEWED_FIXTURE,tests/demand_constraints/fixtures/v042_approved_eval.csv,anthropic-NP-007-1,KNOWN_TO_EXISTING_TESTS,DEV,APPROVED,,,,,STRUCTURED,,,,,STRUCTURED,
part-a-v2-2-008,STANDARD,health-functional-food:protein,단백질,바 포함은 금지로 해주세요,true,PARSED,EXCLUDE,"[{""facet_name"":""product_form"",""value_code"":8,""value"":""바"",""constraint_type"":""EXCLUDE""}]",[],NOMINAL_PROHIBITION_ORDER_VARIATION,human-reviewed v042 evaluation fixture,Existing reviewed expression pattern reused as a candidate; approval is pending.,EXISTING_REVIEWED_FIXTURE,tests/demand_constraints/fixtures/v042_approved_eval.csv,anthropic-NP-008-1,KNOWN_TO_EXISTING_TESTS,DEV,APPROVED,,,,,STRUCTURED,,,,,STRUCTURED,
part-a-v2-2-009,STANDARD,health-functional-food:probiotics,유산균·프로바이오틱스,과립 절대 포함 금지,true,PARSED,EXCLUDE,"[{""facet_name"":""product_form"",""value_code"":7,""value"":""과립"",""constraint_type"":""EXCLUDE""}]",[],NOMINAL_PROHIBITION_ORDER_VARIATION,human-reviewed v042 evaluation fixture,Existing reviewed expression pattern reused as a candidate; approval is pending.,EXISTING_REVIEWED_FIXTURE,tests/demand_constraints/fixtures/v042_approved_eval.csv,anthropic-NP-009-1,KNOWN_TO_EXISTING_TESTS,DEV,APPROVED,,,,,STRUCTURED,,,,,STRUCTURED,
part-a-v2-2-010,STANDARD,health-functional-food:eye_health,눈 건강,1일 1회 반드시 포함은 금지입니다,true,PARSED,EXCLUDE,"[{""facet_name"":""daily_frequency"",""value_code"":1,""value"":""1일 1회"",""constraint_type"":""EXCLUDE""}]",[],NOMINAL_PROHIBITION_ORDER_VARIATION,human-reviewed v042 evaluation fixture,Existing reviewed expression pattern reused as a candidate; approval is pending.,EXISTING_REVIEWED_FIXTURE,tests/demand_constraints/fixtures/v042_approved_eval.csv,anthropic-NP-010-1,KNOWN_TO_EXISTING_TESTS,DEV,APPROVED,,,,,STRUCTURED,,,,,STRUCTURED,
part-a-v2-2-011,STANDARD,health-functional-food:protein,단백질,절대 1일 2회 포함 금지,true,PARSED,EXCLUDE,"[{""facet_name"":""daily_frequency"",""value_code"":2,""value"":""1일 2회"",""constraint_type"":""EXCLUDE""}]",[],NOMINAL_PROHIBITION_ORDER_VARIATION,human-reviewed v042 evaluation fixture,Existing reviewed expression pattern reused as a candidate; approval is pending.,EXISTING_REVIEWED_FIXTURE,tests/demand_constraints/fixtures/v042_approved_eval.csv,anthropic-NP-011-1,KNOWN_TO_EXISTING_TESTS,DEV,APPROVED,,,,,STRUCTURED,,,,,STRUCTURED,
